Name,Country,State/Province
Huashan Hospital,China,Shanghai
Yao Xie,China,Guangdong
Brii Biosciences Limited,China,Guangdong
"ANRS, Emerging Infectious Diseases",United States,Maryland
Hepasome Pharmaceuticals,United States,New Jersey
sigma-tau i.f.r. S.p.A.,Italy,Lazio
Janssen R&D Ireland,Ireland,County Cork
Human Genome Sciences Inc.,United States,Maryland
Janssen-Cilag International NV,Belgium,Limburg
MinaPharm Pharmaceuticals,Egypt,Cairo
Mashhad University of Medical Sciences,Iran,Razavi Khorasan
Tibotec BVBA,Belgium,Flemish Brabant
GeneCure Biotechnologies,Canada,Ontario
Humanity and Health Research Centre,Canada,Ontario
Hepatitis Resource Network,Canada,Alberta
Digna Biotech S.L.,Spain,Madrid
The University of Hong Kong,Hong Kong,Hong Kong
Fayoum University Hospital,Egypt,Al-Fayoum
Karolinska University Hospital,Sweden,Stockholm County
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),United States,Maryland
Amolyt Pharma,France,Provence-Alpes-Côte d'Azur
Asthma Inc Clinical Research Center,United States,California
"Kashiv BioSciences, LLC",United States,New Jersey
Ology Bioservices,USA,Florida
"Kiniksa Pharmaceuticals, Ltd.",United States,Bermuda
Celldex Therapeutics,United States,Massachusetts
"Bioverativ, a Sanofi company",United States,Massachusetts
Barts & The London NHS Trust,United Kingdom,England
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",China,Jiangsu
Bangladesh Laser & Cell Surgery Institute & Hospital,Bangladesh,Dhaka
Capital Medical University,China,Beijing
"Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey",Turkey,Istanbul
Braeburn Pharmaceuticals,United States,Delaware
Royal Marsden NHS Foundation Trust,United Kingdom,England
University of Iowa,United States,Iowa
Lava Therapeutics,Netherlands,Utrecht
University Hospital Tuebingen,Germany,Baden-Württemberg
"Smith, Timothy R., M.D.",United States,California
St. Olavs Hospital,Norway,Trøndelag
Philipps University Marburg Medical Center,Germany,Hesse
University of Chicago,United States,Illinois
China Medical University Hospital,Taiwan,Taichung City
Temple University,United States,Pennsylvania
UPECLIN HC FM Botucatu Unesp,Brazil,São Paulo
"University of Colorado, Boulder",United States,Colorado
Bispebjerg Hospital,Denmark,Capital Region of Denmark
"Allan Vestergaard Danielsen, MD",Denmark,Central Jutland
University of Minnesota,United States,Minnesota
Mansoura University,Egypt,Dakahlia Governorate
Jules Bordet Institute,Belgium,Brussels-Capital Region
Medical University of South Carolina,United States,South Carolina
Centre hospitalier de l'Université de Montréal (CHUM),Canada,Quebec
University of Rochester,United States,New York
Geisinger Clinic,United States,Pennsylvania
R-Pharm,Russia,Nizhny Novgorod Oblast
Saglik Bilimleri Universitesi,Turkey,Istanbul
"Hangzhou Grand Biologic Pharmaceutical, Inc.",China,Zhejiang
"Amnio Technology, LLC",United States,Michigan
Hepatera Ltd.,United Kingdom,England
"Olix Pharmaceuticals, Inc.",United States,Maryland
Lemonex Inc.,USA,California
University of Aarhus,Denmark,Central Jutland
Claudia Spies,Germany,North Rhine-Westphalia
PharmaIN,Serbia,Vojvodina
Yangzhou University,China,Jiangsu
The University of Texas Health Science Center at San Antonio,United States,Texas
Qilu Hospital of Shandong University,China,Shandong
Northern Jiangsu People's Hospital,China,Jiangsu
Genmab,Denmark,Capital Region of Denmark
Cinfa Biotech,Spain,Navarra
"FARO T. OWIESY, M.D",USA,Michigan
"The University of Texas Health Science Center, Houston",United States,Texas
Christopher D. Verrico,United States,New York
Fatih Sultan Mehmet Training and Research Hospital,Turkey,Istanbul
"University of California, Los Angeles",United States,California
University of Arkansas,United States,Arkansas
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Belgium,Brussels-Capital Region
SOTIO Biotech AG,Switzerland,Zurich
Accelerated Community Oncology Research Network,United States,Pennsylvania
BioLab 612 LLC,United States,Florida
The Fourth Affiliated Hospital of Zhejiang University School of Medicine,China,Zhejiang
"Kaysen, George A., M.D., Ph.D.",United States,Minnesota
Sunnybrook Health Sciences Centre,Canada,Ontario
"Gritstone bio, Inc.",United States,California
"AMAG Pharmaceuticals, Inc.",United States,Massachusetts
"Otsuka Pharmaceutical Development & Commercialization, Inc.",United States,New Jersey
Beijing Children's Hospital,China,Beijing
Xeris Pharmaceuticals,United States,Illinois
"National Medical Research Center for Children's Health, Russian Federation",Russia,Moscow
Horng Chen,Taiwan,Tainan City
Kathleen Dungan,United States,Tennessee
Montefiore Medical Center,United States,New York
University of Missouri-Columbia,United States,Missouri
FHI 360,United States,North Carolina
Carolyn L. Westhoff,United States,New York
Planned Parenthood Federation of America,United States,New York
Jhpiego,United States,Maryland
Institut Universitari Dexeus,Spain,Catalonia
RMW Testing,United States,Texas
University of Leicester,United Kingdom,England
Asger Sverrild,Denmark,Hovedstaden
Unity Health Toronto,Canada,Ontario
Instituto Nacional de Cardiologia Ignacio Chavez,Mexico,Mexico City
Kobe University,Japan,Hyōgo Prefecture
"Haugaard, Steen Bendix, M.D., DMSc",Denmark,Capital Region
Elaine Husni,United States,Ohio
First Affiliated Hospital Xi'an Jiaotong University,China,Shaanxi
CeleCor Therapeutics,United States,Massachusetts
Beijing Chao Yang Hospital,China,Beijing
"CytoDyn, Inc.",United States,Washington
Sohaib Ashraf,Pakistan,Punjab
Population Health Research Institute,Canada,Ontario
Samsung Medical Center,South Korea,Seoul
Westyn Branch-Elliman,United States,New York
Shahid Beheshti University of Medical Sciences,Iran,Tehran
Qu Biologics Inc.,Canada,British Columbia
"Promomed, LLC",United States,Colorado
Maria del Rosario Garcia de Vicuña Pinedo,Spain,Valencia
"William B. Ershler, MD",United States,California
"University Hospital, Ghent",Belgium,East Flanders
Stanford University,United States,California
University of Virginia,United States,Virginia
Code Pharma,Canada,Quebec
"University of Wisconsin, Madison",United States,Wisconsin
IRCCS Azienda Ospedaliero-Universitaria di Bologna,Italy,Emilia-Romagna
SPP Pharmaclon Ltd.,United Kingdom,England
Pirogov Russian National Research Medical University,Russia,Moscow
Universitätsklinikum Hamburg-Eppendorf,Germany,Hamburg
ASST Fatebenefratelli Sacco,Italy,Lombardy
Clinique Saint Pierre Ottignies,Belgium,Walloon Brabant
Australian and New Zealand Intensive Care Research Centre,Australia,Victoria
Newcastle-upon-Tyne Hospitals NHS Trust,United Kingdom,England
Leonardo Clavijo,Colombia,Valle del Cauca
TCA Cellular Therapy,USA,California
"Sanofi Pasteur, a Sanofi Company",France,Auvergne-Rhône-Alpes
"Sixth Affiliated Hospital, Sun Yat-sen University",China,Guangdong
Janssen-Cilag Ltd.,United Kingdom,England
Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives,France,Île-de-France
Tel-Aviv Sourasky Medical Center,Israel,Tel Aviv District
"Janssen Scientific Affairs, LLC",United States,Pennsylvania
Belgian Inflammatory Bowel Disease Research and Development (BIRD) VZW,Belgium,Flanders
Theratechnologies,Canada,Quebec
Shafran Gastroenterology Center,United States,New Jersey
PIBD-Net,United States,California
Gastroenterology Research of America,United States,Florida
Celltrion,South Korea,Incheon
UCB Pharma SA,Belgium,Walloon Brabant
Fundación de Investigación Biomédica - Hospital Universitario de La Princesa,Spain,Community of Madrid
RECORDATI GROUP,Italy,Lombardy
"TuHURA Biosciences, Inc.",United States,Maryland
"Genocea Biosciences, Inc.",United States,Massachusetts
"Provectus Biopharmaceuticals, Inc.",United States,Tennessee
Laura Tosi,Italy,Lombardy
"miRagen Therapeutics, Inc.",United States,Colorado
"Immorna Biotherapeutics, Inc.",United States,California
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",China,Beijing
Hôpital Necker-Enfants Malades,France,Île-de-France
InterMune,United States,California
Papworth Hospital NHS Foundation Trust,United Kingdom,England
"AlphaVax, Inc.",United States,North Carolina
"Post Graduate Institute of Medical Education and Research, Chandigarh",India,Chandigarh
Florida Orthopaedic Institute,United States,Florida
University of Oklahoma,USA,Oklahoma
"Kolon TissueGene, Inc.",South Korea,Seoul
Aalborg University Hospital,Denmark,North Denmark Region
Halozyme Therapeutics,United States,California
U.S. Army Medical Research and Development Command,United States,Maryland
Butantan Institute,Brazil,São Paulo
Inviragen Inc.,USA,Colorado
KeyBioscience AG,Switzerland,Zurich
"SCRI Development Innovations, LLC",United States,Virginia
Shenzhen People's Hospital,China,Guangdong
IBSA Institut Biochimique SA,Switzerland,Vaud
"Anterogen Co., Ltd.",South Korea,Seoul
Raziel Therapeutics Ltd.,United Kingdom,England
Celtic Pharma Development Services,United Kingdom,England
Northwell Health,United States,New York
Versartis Inc.,United States,California
Elan Pharmaceuticals,United States,California
GWT-TUD GmbH,Germany,Baden-Württemberg
George Washington University,United States,District of Columbia
"Idera Pharmaceuticals, Inc.",United States,Massachusetts
The Cleveland Clinic,United States,Ohio
Centre Hospitalier Universitaire Saint Pierre,Belgium,Brussels-Capital Region
Huazhong University of Science and Technology,China,Hubei
Dr. Dean Reeves Clinic,United States,Florida
"Becton, Dickinson and Company",United States,New Jersey
Centre Hospitalier Universitaire Dijon,France,Bourgogne-Franche-Comté
University of Padova,Italy,Veneto
Norfolk and Norwich University Hospitals NHS Foundation Trust,United Kingdom,England
Peter Lommer,Germany,North Rhine-Westphalia
Portsmouth Hospitals NHS Trust,United Kingdom,England
"DexCom, Inc.",United States,California
"Tonghua Dongbao Pharmaceutical Co.,Ltd",China,Jilin Province
"University Hospital, Basel, Switzerland",Switzerland,Basel-Stadt
Profil Institut für Stoffwechselforschung GmbH,Germany,Bavaria
"Dong-A Pharmaceutical Co., Ltd.",South Korea,Seoul
Hanmi Pharmaceutical Company Limited,South Korea,Seoul
Biodel,United States,Massachusetts
Medical University of Graz,Austria,Styria
"Calibra Medical, Inc.",United States,California
University of Cambridge,United Kingdom,England
University of Pavia,Italy,Lombardy
Progen Pharmaceuticals,Australia,Queensland
Lidds AB,Sweden,Stockholm
Lise Tarnow,Australia,New South Wales
Julphar Gulf Pharmaceutical Industries,United Arab Emirates,Ras Al Khaimah
Liggins Institute,New Zealand,Auckland
Adocia,France,Auvergne-Rhône-Alpes
Vastra Gotaland Region,Sweden,Västra Götaland County
Kirby Institute,Australia,New South Wales
Anna Cruceta,Spain,Catalonia
Leiden University Medical Center,Netherlands,South Holland
Nemours Children's Clinic,USA,Florida
University Hospital Schleswig-Holstein,Germany,Schleswig-Holstein
Oshadi Drug Administration,China,Guangdong
"Medical Research Foundation, The Netherlands",Netherlands,North Holland
Diasome Pharmaceuticals,United States,Ohio
Azienda Ospedaliero-Universitaria Careggi,Italy,Tuscany
Sidra Medicine,Qatar,Doha
McGill University,Canada,Quebec
Arecor Limited,United Kingdom,England
Mannkind Corporation,United States,California
LMC Diabetes & Endocrinology Ltd.,United Kingdom,England
Johnny Ludvigsson,Sweden,Skåne
Imcyse SA,Belgium,Walloon Brabant
"University Hospital, Antwerp",Belgium,Antwerp
Filip Krag Knop,Denmark,Region Zealand
Zealand Pharma,Denmark,Capital Region
Fundación Pública Andaluza para la Investigación de Málaga en Biomedicina y Salud,Spain,Andalusia
Uppsala University,Sweden,Uppsala County
Jing Luo,China,Guangdong
University of Copenhagen,Denmark,Capital Region of Denmark
Hadassah Medical Organization,Israel,Jerusalem
Sabyasachi Sen,India,West Bengal
"Beijing Dongfang Biotech Co., Ltd.",China,Beijing
The First Hospital of Jilin University,China,Jilin Province
"Hangzhou Jiuyuan Gene Engineering Co. Ltd.,",China,Zhejiang
Steno Diabetes Center Copenhagen,Denmark,Capital Region
"Fujian Shengdi Pharmaceutical Co., Ltd.",China,Fujian Province
Diwakar Davar,India,Maharashtra
Turku University Hospital,Finland,Turku Province
Hospital de Clinicas de Porto Alegre,Brazil,Rio Grande do Sul
University of Leeds,United Kingdom,England
The First Affiliated Hospital of Xiamen University,China,Fujian
Rita Merman,United States,New York
"Astex Pharmaceuticals, Inc.",United States,California
ikfe-CRO GmbH,Germany,Bavaria
"University of Campania ""Luigi Vanvitelli""",Italy,Campania
Jothydev's Diabetes and Research Centre,India,Kerala
"Central Hospital, Nancy, France",France,Grand Est
National Heart Centre Singapore,Singapore,Central Region
Yale University,United States,Connecticut
Royal Adelaide Hospital,Australia,South Australia
Shanghai Proton and Heavy Ion Center,China,Shanghai
SWOG Cancer Research Network,United States,Washington
"Jenny Tong, MD, MPH",United States,California
AZ-VUB,Belgium,Brussels-Capital Region
Providence Heart & Vascular Institute,United States,Washington
Dynavax Technologies Corporation,United States,California
Beike Biotech India Pvt.ltd,India,Maharashtra
Gulhane School of Medicine,Turkey,Istanbul
Rush University Medical Center,United States,Illinois
Aerpio Therapeutics,United States,Ohio
"Nanfang Hospital, Southern Medical University",China,Guangdong
Joslin Diabetes Center,United States,Massachusetts
King Faisal Specialist Hospital & Research Center,Saudi Arabia,Riyadh Province
Cebix Incorporated,United States,California
Federal University of São Paulo,Brazil,São Paulo
"Dinesh Khanna, MD, MS",United States,California
Yang Zhang,China,Guangdong
University Medical Centre Ljubljana,Slovenia,Ljubljana
Mitsubishi Tanabe Pharma Corporation,Japan,Osaka Prefecture
Horizon Therapeutics Ireland DAC,Ireland,Dublin
Florida Academic Dermatology Centers,United States,Florida
Aegeria Soft Tissue LLC,USA,Florida
University of Liege,Belgium,Walloon Brabant
Wonju Severance Christian Hospital,South Korea,Gangwon-do
Australasian Leukaemia and Lymphoma Group,Australia,Queensland
Constant Therapeutics LLC,USA,California
"Partner Therapeutics, Inc.",United States,Massachusetts
Entera Bio Ltd.,Israel,Jerusalem
Instituto de Oftalmología Fundación Conde de Valenciana,Mexico,Mexico City
Assistance Publique Hopitaux De Marseille,France,Provence-Alpes-Côte d'Azur
Children's National Research Institute,United States,District of Columbia
"Daiichi Sankyo Co., Ltd.",Japan,Tokyo
"Children's Hospital Medical Center, Cincinnati",United States,Ohio
Universitaire Ziekenhuizen KU Leuven,Belgium,Flemish Brabant
Beijing Anzhen Hospital,China,Beijing
Samara Regional Cardiology Dispensary,Russia,Samara Oblast
Visirna Therapeutics HK Limited,Hong Kong,Hong Kong
Muhammad,Pakistan,Punjab
Copka Sonpashan,Iran,Zanjan Province
Sankt Lukas Hospice,Germany,North Rhine-Westphalia
Eisai Inc.,United States,New Jersey
Chong Kun Dang Pharmaceutical,South Korea,Seoul
German Cancer Research Center,Germany,Baden-Württemberg
Tongji Hospital,China,Shanghai
"Kousai Bio Co., Ltd.",Japan,Osaka
Massachusetts Eye and Ear Infirmary,United States,Massachusetts
OptiSkin Medical,United States,California
Kymab Limited,United Kingdom,England
Moustafa Mohammed Abouelea,Egypt,Cairo
Hematology department of the 920th hospital,United States,Florida
Hôpital Fribourgeois,Switzerland,Fribourg
Akcea Therapeutics,United States,Massachusetts
"Cutia Therapeutics（Wuxi）Co.,Ltd",China,Jiangsu
First People's Hospital of Chenzhou,China,Hunan
Michigan Reproductive Medicine,United States,Michigan
Shiraz University of Medical Sciences,Iran,Fars Province
The Reading Hospital and Medical Center,United States,Pennsylvania
Siriraj Hospital,Thailand,Bangkok
"Sarepta Therapeutics, Inc.",United States,Washington
PATH,USA,California
Instituto de Investigacion Sanitaria La Fe,Spain,Valencia
Chemi S.p.A.,Italy,Lombardy
"Jinling Hospital, China",China,Jiangsu
Yunnan Cancer Hospital,China,Yunnan
O & O Alpan LLC,United States,Texas
"Guangdong Hengrui Pharmaceutical Co., Ltd",China,Guangdong
Arthrex SAS,France,Provence-Alpes-Côte d'Azur
Jose Ignacio Martin,Spain,Madrid
CanSino Biologics Inc.,China,Tianjin
Diamond Headache Clinic,United States,Illinois
Singapore Clinical Research Institute,Singapore,Central Region
NeoPlas Innovation,Germany,Bavaria
"University Hospital, Linkoeping",Sweden,Östergötland
Lund University,Sweden,Skåne County
OncoSec Medical Incorporated,United States,California
Clinuvel Pharmaceuticals Limited,Australia,Victoria
"First Affiliated Hospital, Sun Yat-Sen University",China,Guangdong
Teikyo University,Japan,Tokyo
Instituto do Cancer do Estado de São Paulo,Brazil,São Paulo
JIANYANG WANG,China,Hunan
OHSU Knight Cancer Institute,United States,Oregon
"St. James's Hospital, Ireland",Ireland,Dublin
Sichuan University,China,Sichuan
University at Buffalo,United States,New York
United States Army Research Institute of Environmental Medicine,United States,Massachusetts
Symatese,France,Auvergne-Rhône-Alpes
"David Jang, M.D.",United States,California
Allergan,United States,California
Erevna Innovations Inc.,Canada,Ontario
Contura,United States,Virginia
Ludwig Institute for Cancer Research,Switzerland,Geneva
University of Southern California,United States,California
UMC Utrecht,Netherlands,Utrecht
University of Michigan,United States,Michigan
Elif Oral,Turkey,Istanbul
Ain Shams Maternity Hospital,Egypt,Cairo
Glycotope GmbH,Germany,Berlin
Catholic University of the Sacred Heart,Italy,Lombardy
Center for Human Reproduction,USA,New York
Lebanese University,Lebanon,Mount Lebanon Governorate
"Palatin Technologies, Inc",United States,New Jersey
Fundación Santiago Dexeus Font,Spain,Catalonia
"Insel Gruppe AG, University Hospital Bern",Switzerland,Bern
Instituto Bernabeu,Spain,Valencia
Ellen Greenblatt,United States,California
Hôpital Jean Verdier,France,Île-de-France
Centro Hospitalar de Lisboa Central,Portugal,Lisbon
"NephroNet, Inc.",United States,California
Jagiellonian University,Poland,Lesser Poland Voivodeship
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,USA,Maryland
Gliknik Inc.,USA,Maryland
"State Scientific Centre of Coloproctology, Russian Federation",Russia,Moscow
Oslo University Hospital,Norway,Oslo
French Innovative Leukemia Organisation,France,Île-de-France
XEME Biopharma Inc.,United States,California
"Reid Merryman, MD",United States,Virginia
Carsten Bindslev-Jensen,Denmark,Zealand
George Stavroulakis,Greece,Attica
Matthew C. Baker,United States,California
Hospital Angeles del Pedregal,Mexico,Mexico City
United Therapeutics,United States,Maryland
Azienda Policlinico Umberto I,Italy,Lazio
Children's Hospital of Philadelphia,United States,Pennsylvania
"Horizon Pharma Ireland, Ltd., Dublin Ireland",Ireland,Dublin
Eastern Hepatobiliary Surgery Hospital,China,Shanghai
Mycenax Biotech Inc.,Taiwan,Taipei City
The Second Hospital of Shandong University,China,Shandong
Abnoba Gmbh,Germany,Baden-Württemberg
Ra Pharmaceuticals,United States,Massachusetts
"Ra Pharmaceuticals, Inc.",United States,Massachusetts
GlobeImmune,United States,Colorado
Janssen Infectious Diseases BVBA,Belgium,Antwerp
Hospital of Prato,Italy,Tuscany
Centre Hospitalier National d'Ophtalmologie des Quinze-Vingts,France,Île-de-France
Anthera Pharmaceuticals,United States,California
Shanghai JMT-Bio Inc.,China,Shanghai
"Millennium Pharmaceuticals, Inc.",United States,Massachusetts
Singapore Eye Research Institute,Singapore,Central Region
Molecular Partners AG,Switzerland,Zurich
"Cure&Sure Biotech Co., LTD",China,Jiangsu
NanoPharmaceuticals LLC,United States,California
Nicholas Butowski,United States,New York
Groupe Hospitalier Pitie-Salpetriere,France,Île-de-France
Mid and South Essex NHS Foundation Trust,United Kingdom,England
University of South Florida,United States,Florida
Biomay AG,Austria,Lower Austria
Kutahya Health Sciences University,Turkey,Kütahya
"Aileron Therapeutics, Inc.",United States,Massachusetts
Aarhus University Hospital,Denmark,Central Jutland
"Visen Pharmaceuticals (Shanghai) Co., Ltd.",China,Shanghai
Xiaohua Wu MD,United States,California
Healeon Medical Inc,USA,California
University of Giessen,Germany,Hesse
Jurgen Barth,Germany,Baden-Württemberg
"Sinovac Biotech Co., Ltd",China,Beijing
Chiang Mai University,Thailand,Chiang Mai
ASIT Biotech S.A.,Belgium,Walloon Brabant
BioTech Tools S.A.,Argentina,Buenos Aires
Dr. Emma's Corporation,United States,Texas
French National Agency for Research on AIDS and Viral Hepatitis,France,Île-de-France
"BioMimetix JV, LLC",United States,Texas
Drexel University College of Medicine,United States,Pennsylvania
Glenn J. Hanna,United States,Virginia
"Mt. Sinai Medical Center, Miami",United States,Florida
Istituto Scientifico Romagnolo per lo Studio e la cura dei Tumori,Italy,Emilia-Romagna
BMI Korea,South Korea,Gyeonggi-do
Venus Remedies Limited,India,Punjab
"Orpheris, Inc.",United States,Massachusetts
"Shenzhen Turier Biotech Co., Ltd",China,Guangdong
Centers for Disease Control and Prevention,United States,Georgia
Hanwha Chemical,South Korea,Seoul
"Western University, Canada",Canada,Ontario
"Alexion Pharmaceuticals, Inc.",United States,Massachusetts
Zucero Pty Ltd,Australia,Queensland
"Larry Cripe, MD",United States,Indiana
Megalabs,Uruguay,Montevideo
NuPathe Inc.,United States,Pennsylvania
Ensol Bioscience,United States,Maryland
Kineta Inc.,United States,Washington
Crossject,France,Bourgogne-Franche-Comté
"Momenta Pharmaceuticals, Inc.",USA,Massachusetts
"Samsung Bioepis Co., Ltd.",South Korea,Incheon
Chongqing Medical University,China,Chongqing
HK inno.N Corporation,South Korea,Gyeonggi Province
ISDIN,Spain,Catalonia
Baxter Healthcare Corporation,United States,Illinois
"Prometheus Biosciences, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",USA,New Jersey
MBX Biosciences,United States,California
Pulmatrix Inc.,United States,Massachusetts
"Kunming Pharmaceuticals, Inc.",China,Yunnan
Inonu University,Turkey,Malatya Province
University of Skövde,Sweden,Västra Götaland
St. Louis University,United States,Missouri
Wex Pharmaceuticals Inc.,Canada,British Columbia
"Zogenix, Inc.",United States,California
Fresenius Kabi SwissBioSim GmbH,Switzerland,Aargau
Nycomed,Denmark,Hovedstaden
"Craig L Slingluff, Jr",USA,Maryland
Jemincare,China,Shanghai
University of Surrey,United Kingdom,England
"Dong-A ST Co., Ltd.",South Korea,Seoul
Antev Ltd.,Australia,Victoria
Rovi Pharmaceuticals Laboratories,United States,New Jersey
Innovent Biologics (Suzhou) Co. Ltd.,China,Jiangsu
Mologen AG,Germany,Berlin
Cidara Therapeutics Inc.,United States,California
Polymun Scientific GmbH,Austria,Lower Austria
Green Cross Corporation,South Korea,Seoul
Pacific Centre for Reproductive Medicine,Canada,Ontario
Janssen Sciences Ireland UC,Ireland,County Cork
Sinocelltech Ltd.,China,Guangdong
"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",Germany,Hesse
CureDM,United States,Texas
"Beijing Kanova Biopharmaceutical Co., LTD",China,Beijing
Margaret Ragni,United States,California
Aligos Therapeutics,United States,California
Terumo BCT,United States,Colorado
Sports Medicine Research and Testing Laboratory,United States,Colorado
Institut de Recherches Cliniques de Montreal,Canada,Quebec
Alvotech Swiss AG,Switzerland,Zug
Bio-ker S.r.l.,Italy,Emilia-Romagna
Shanghai Henlius Biotech,China,Shanghai
Bio-Thera Solutions,China,Guangdong
Health Decisions,United States,North Carolina
"Serpin Pharma, LLC",United States,New Jersey
H. Lundbeck A/S,Denmark,Capital Region of Denmark
"Xentria, Inc.",United States,California
Allakos Inc.,United States,California
"Betta Pharmaceuticals Co., Ltd.",China,Jiangsu
"NovaRock Biotherapeutics, Ltd",United Kingdom,England
"Nuance Pharma (shanghai) Co., Ltd",China,Shanghai
"Huabo Biopharm Co., Ltd.",China,Jiangsu
Flame Biosciences,United States,California
"Dongguan HEC Biopharmaceutical R&D Co., Ltd.",China,Guangdong
"Regado Biosciences, Inc.",United States,New Jersey
"Chinook Therapeutics, Inc.",United States,Washington
Biocon Limited,India,Karnataka
"Kastle Therapeutics, LLC",United States,Virginia
"Disc Medicine, Inc",USA,Massachusetts
Cephalon,United States,Pennsylvania
Dauntless Pharmaceuticals,United States,New Jersey
Comanche Biopharma,United States,Texas
Rockefeller University,United States,New York
"Adello Biologics, LLC",United States,Massachusetts
UCB Celltech,United Kingdom,England
"Taizhou Mabtech Pharmaceutical Co.,Ltd",China,Jiangsu
Access to Advanced Health Institute (AAHI),United States,California
Mylan Inc.,United States,Pennsylvania
Inmagene LLC,United States,California
UCB Biopharma S.P.R.L.,Belgium,Walloon Brabant
"Nanjing RegeneCore Biotech Co., Ltd.",China,Jiangsu
"Cohen Global, Ltd.",United States,New York
"Shanghai Yinnuo Pharmaceutical Technology Co., Ltd.",China,Shanghai
"Radius Health, Inc.",United States,Massachusetts
Biocon Biologics UK Ltd,United Kingdom,England
Maimonides Medical Center,United States,New York
"ModernaTX, Inc.",United States,Massachusetts
PharmaEssentia Japan K.K.,Japan,Tokyo
Fertility Biotech AG,Switzerland,Zurich
Handok Inc.,South Korea,Seoul
Syneos Health,United States,North Carolina
"Alpine Immune Sciences, Inc.",United States,Washington
Madigan Army Medical Center,United States,Washington
Veloxis Pharmaceuticals,Denmark,Capital Region
"Chengdu Easton Biopharmaceuticals Co,Ltd",China,Sichuan
"Jiangsu Simcere Pharmaceutical Co., Ltd.",China,Jiangsu
Transgene,France,Alsace
"Pacira Pharmaceuticals, Inc",United States,New Jersey
CAMP4 Therapeutics Corporation,United States,Massachusetts
Prestige Biopharma Limited,South Korea,Gyeonggi Province
Parc de Salut Mar,Spain,Catalonia
"Affinivax, Inc.",United States,Massachusetts
"Xencor, Inc.",USA,California
Objectif Recherche Vaccins SIDA,France,Île-de-France
"Zhejiang Doer Biologics Co., Ltd.",China,Zhejiang Province
"ProGen. Co., Ltd.",South Korea,Gyeonggi Province
University of Tartu,Estonia,Tartu County
"DiaKine Therapeutics, Inc.",United States,Massachusetts
Nordmark Arzneimittel GmbH & Co. KG,Germany,Lower Saxony
Kelly Allison,USA,Illinois
"scPharmaceuticals, Inc.",United States,Massachusetts
"SQ Innovation, Inc.",United States,California
University of Arizona,United States,Arizona
Heart Center Leipzig - University Hospital,Germany,Saxony
Nile Therapeutics,United States,California
River 2 Renal Corp.,Canada,British Columbia
MitoImmune Therapeutics,United States,California
"Sumitomo Pharma America, Inc.",United States,New Jersey
University Of Perugia,Italy,Umbria
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",China,Shanghai
Dartmouth-Hitchcock Medical Center,United States,New Hampshire
Hospital General de Niños Pedro de Elizalde,Argentina,Buenos Aires
"Suzhou Alphamab Co., Ltd.",China,Jiangsu
GC Biopharma Corp,South Korea,Gyeonggi-do
"Expression Therapeutics, LLC",United States,Texas
"The League of Clinical Research, Russia",Russia,Moscow
JW Pharmaceutical,South Korea,Seongnam-si
"Opexa Therapeutics, Inc.",United States,Texas
ApcinteX Ltd,United Kingdom,England
"Mount Sinai Hospital, Canada",Canada,Ontario
University of Pittsburgh,United States,Pennsylvania
Huntington Medical Research Institutes,United States,California
Biotest,Germany,Baden-Württemberg
Hanyang University,South Korea,Gyeonggi Province
Replicor Inc.,Canada,Quebec
Millendo Therapeutics SAS,France,Île-de-France
Allysta Pharmaceutical,United States,New Jersey
Anhui Medical University,China,Anhui
Enyo Pharma,France,Île-de-France
"David Rizzieri, MD",United States,Pennsylvania
"Ausper Biopharma Co., Ltd.",China,Jiangsu
"Shanghai HEP Pharmaceutical Co., Ltd.",China,Shanghai
"Tibotec Pharmaceuticals, Ireland",Ireland,County Dublin
Peregrine Pharmaceuticals,United States,California
Santaris Pharma A/S,Denmark,Capital Region
"Biolex Therapeutics, Inc.",United States,North Carolina
Institut de Recherche pour le Developpement,France,Île-de-France
Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,Spain,Andalucía
PharmaEssentia,Taiwan,Taipei City
Fondation Hôpital Saint-Joseph,France,Provence-Alpes-Côte d'Azur
"National Liver Institute, Egypt",Egypt,Cairo
Markus Peck-Radosavljevic,Austria,Burgenland
Russian Academy of Medical Sciences,Russia,Moscow
Junqi Niu,China,Guangdong
Grupo de Enfermedades Infecciosas de la Sociedad Española de Sanidad Penitenciaria,Spain,Madrid
"amfAR, The Foundation for AIDS Research",United States,New York
Hamad Medical Corporation,Qatar,Doha
University of Athens,Greece,Attica
Eiger BioPharmaceuticals,United States,California
Akita University Hospital,Japan,Akita Prefecture
National Hepatology & Tropical Medicine Research Institute,Nigeria,Lagos
Adrienne G. Waks,USA,New York
Seagen Inc.,USA,Washington
Oklahoma Medical Research Foundation,United States,Oklahoma
"Astria Therapeutics, Inc.",United States,Massachusetts
